20 ℃,Mass before (g),Mass after (g),Percent change in mass
7.5-1,0.1935,0.1925,-0.5167958656%
7.5-2,0.1891,0.1877,-0.7403490217%
7.5d-1,0.1427,0.1487,4.204625088%
7.5d-2,0.1586,0.1584,-0.1261034048%
EG-1,0.1883,0.1871,-0.6372809347%
EG-2,0.1916,0.1907,-0.4697286013%
EGd-1,0.1255,0.1156,-7.888446215%
EGd-2,0.1278,0.126,-1.408450704%
7.0-1,0.1999,0.1996,-0.1500750375%
7.0-2,0.1641,0.1638,-0.1828153565%
8.0-1,0.1546,0.1545,-0.06468305304%
8.0-2,0.1732,0.1732,0%
