CSG Concentration,CSG %,LNR %,CMC pph,IPC pph,Initial Mass (g),Mass After Dissolving (g),Percent Loss %
10,60,40,10,10,0.325,0.2829,12.95384615
10,60,40,10,10,0.379,0.3247,14.32717678
